Manaus;1302603;60
Uarini;1304260;5
Japurá;1302108;3
Alvarães;1300029;5
Codajás;1301308;15
Autazes;1300300;3
Borba;1300805;7
Juruti;1503903;14
Monte Alegre;1504802;15
Itacoatiara;1301902;24
Belém;1501402;37
Baião;1501204;3
Mocajuba;1504604;4
Cametá;1502103;6
Breves;1501808;24
Almeirim;1500503;17
Maraã;1302801;3
Prainha;1506005;17
Coari;1301209;15
Alenquer;1500404;7
Gurupá;1503101;17
Parintins;1303403;19
São Sebastião da Boa Vista;1507706;5
Santarém;1506807;23
Canutama;1300904;2
Óbidos;1505106;15
Beruri;1300631;6
Tapauá;1304104;4
Lábrea;1302405;1
Anajás;1500701;4
Laranjal do Jari;1600279;10
Vitória do Jari;1600808;11
Humaitá;1301704;6
Porto de Moz;1505908;10
Macapá;1600303;8
Barcarena;1501303;8
Oeiras do Pará;1505205;5
Rio Grande;4315602;1
São José do Norte;4318507;1
Nova Olinda do Norte;1303106;7
Porto Velho;1100205;6
Caapiranga;1300839;3
Afuá;1500305;7
Muaná;1504901;3
Novo Aripuanã;1303304;6
Faro;1503002;8
Nhamundá;1303007;5
Urucurituba;1304401;3
Terra Santa;1507979;10
Maués;1302900;2
Itaparica;2916104;1
Salvador;2927408;2
Itapiranga;4208401;1
Pinheirinho do Vale;4314498;1
Acará;1500206;1
Santana;1600600;14
Traipu;2709202;1
Gararu;2802403;1
Manicoré;1302702;6
Bagre;1501105;5
Altamira;1500602;1
Vitória do Xingu;1508357;10
Tefé;1304203;17
Juruá;1302207;5
Portel;1505809;6
Melgaço;1504505;5
Oriximiná;1505304;7
Senador José Porfírio;1507805;10
Areia Branca;2401107;1
Grossos;2404408;1
Anori;1300102;4
Abaetetuba;1500107;2
Careiro da Várzea;1301159;1
Curralinho;1502806;8
Vera Cruz;2933208;1
Tabatinga;1304062;11
Benjamin Constant;1300607;11
Fonte Boa;1301605;11
Tucumã;1508084;2
Iranduba;1301852;1
Chaves;1502509;4
Salvaterra;1506302;1
Tucuruí;1508100;3
Humberto de Campos;2105005;2
São José de Ribamar;2111201;2
Icatu;2105104;1
Novo Airão;1303205;1
Penedo;2706703;1
Santana do São Francisco;2806404;1
Amaturá;1300060;11
Manacapuru;1302504;6
Jutaí;1302306;11
Manaquiri;1302553;2
São Paulo de Olivença;1303908;11
Itaguatins;1710706;1
Imperatriz;2105302;2
Alcântara;2100204;1
São Luís;2111300;1
Piaçabuçu;2706802;1
Brejo Grande;2800704;1
Pilão Arcado;2924405;1
Xique-Xique;2933604;1
Marabá;1504208;1
Santo Antônio do Içá;1303700;11
Itapiranga;1302009;4
Carauari;1301001;5
Angra dos Reis;3300100;1
Mangaratiba;3302601;1
Aveiro;1501006;2
Santa Cruz do Arari;1506401;2
Ponta de Pedras;1505700;1
Limoeiro do Ajuru;1504000;3
Curuá;1502855;2
Guaraqueçaba;4109500;1
Paranaguá;4118204;1
Tonantins;1304237;11
Remanso;2926004;1
Sento Sé;2930204;1
Itaituba;1503606;2
Anamã;1300086;4
Urucará;1304302;5
São Gabriel da Cachoeira;1303809;3
Cruzeiro do Sul;1200203;3
Marechal Thaumaturgo;1200351;1
Barcelos;1300409;3
Porto Real do Colégio;2707503;1
Propriá;2805703;1
Imaruí;4207205;1
Laguna;4209409;1
São Sebastião do Uatumã;1303957;4
Cachoeira do Arari;1502004;2
Boa Vista do Ramos;1300680;4
Viseu;1508308;1
Carutapera;2102903;1
Santa Isabel do Rio Negro;1303601;3
Porto Walter;1200393;1
Barreirinha;1300508;4
Primeira Cruz;2109403;1
Ipixuna;1301803;1
Soure;1507904;1
