Manaus;1302603;32
Uarini;1304260;0
Japurá;1302108;3
Alvarães;1300029;5
Codajás;1301308;10
Autazes;1300300;3
Borba;1300805;5
Juruti;1503903;6
Monte Alegre;1504802;7
Itacoatiara;1301902;21
Belém;1501402;28
Baião;1501204;3
Mocajuba;1504604;1
Cametá;1502103;4
Breves;1501808;15
Almeirim;1500503;14
Maraã;1302801;1
Prainha;1506005;6
Coari;1301209;11
Alenquer;1500404;4
Gurupá;1503101;11
Parintins;1303403;14
São Sebastião da Boa Vista;1507706;0
Santarém;1506807;4
Canutama;1300904;2
Óbidos;1505106;4
Beruri;1300631;4
Tapauá;1304104;0
Lábrea;1302405;1
Anajás;1500701;3
Laranjal do Jari;1600279;2
Vitória do Jari;1600808;0
Humaitá;1301704;4
Porto de Moz;1505908;5
Macapá;1600303;1
Barcarena;1501303;7
Oeiras do Pará;1505205;1
Rio Grande;4315602;1
São José do Norte;4318507;0
Nova Olinda do Norte;1303106;1
Porto Velho;1100205;6
Caapiranga;1300839;2
Afuá;1500305;7
Muaná;1504901;0
Novo Aripuanã;1303304;0
Faro;1503002;3
Nhamundá;1303007;4
Urucurituba;1304401;2
Terra Santa;1507979;0
Maués;1302900;0
Itaparica;2916104;1
Salvador;2927408;1
Itapiranga;4208401;1
Pinheirinho do Vale;4314498;0
Acará;1500206;1
Santana;1600600;1
Traipu;2709202;1
Gararu;2802403;0
Manicoré;1302702;2
Bagre;1501105;5
Altamira;1500602;1
Vitória do Xingu;1508357;1
Tefé;1304203;2
Juruá;1302207;2
Portel;1505809;1
Melgaço;1504505;2
Oriximiná;1505304;2
Senador José Porfírio;1507805;3
Areia Branca;2401107;1
Grossos;2404408;0
Anori;1300102;3
Abaetetuba;1500107;2
Careiro da Várzea;1301159;1
Curralinho;1502806;5
Vera Cruz;2933208;0
Tabatinga;1304062;2
Benjamin Constant;1300607;10
Fonte Boa;1301605;7
Tucumã;1508084;1
Iranduba;1301852;1
Chaves;1502509;3
Salvaterra;1506302;0
Tucuruí;1508100;0
Humberto de Campos;2105005;2
São José de Ribamar;2111201;0
Icatu;2105104;1
Novo Airão;1303205;0
Penedo;2706703;1
Santana do São Francisco;2806404;0
Amaturá;1300060;11
Manacapuru;1302504;2
Jutaí;1302306;6
Manaquiri;1302553;1
São Paulo de Olivença;1303908;3
Itaguatins;1710706;1
Imperatriz;2105302;0
Alcântara;2100204;1
São Luís;2111300;0
Piaçabuçu;2706802;1
Brejo Grande;2800704;0
Pilão Arcado;2924405;1
Xique-Xique;2933604;0
Marabá;1504208;1
Santo Antônio do Içá;1303700;4
Itapiranga;1302009;3
Carauari;1301001;5
Angra dos Reis;3300100;1
Mangaratiba;3302601;0
Aveiro;1501006;2
Santa Cruz do Arari;1506401;0
Ponta de Pedras;1505700;0
Limoeiro do Ajuru;1504000;0
Curuá;1502855;1
Guaraqueçaba;4109500;1
Paranaguá;4118204;0
Tonantins;1304237;0
Remanso;2926004;1
Sento Sé;2930204;0
Itaituba;1503606;1
Anamã;1300086;4
Urucará;1304302;0
São Gabriel da Cachoeira;1303809;0
Cruzeiro do Sul;1200203;3
Marechal Thaumaturgo;1200351;0
Barcelos;1300409;3
Porto Real do Colégio;2707503;1
Propriá;2805703;0
Imaruí;4207205;1
Laguna;4209409;0
São Sebastião do Uatumã;1303957;1
Cachoeira do Arari;1502004;1
Boa Vista do Ramos;1300680;3
Viseu;1508308;1
Carutapera;2102903;0
Santa Isabel do Rio Negro;1303601;1
Porto Walter;1200393;0
Barreirinha;1300508;4
Primeira Cruz;2109403;0
Ipixuna;1301803;0
Soure;1507904;0
